id,title,image_id,artist_display,date_display
85025,Woman and Nude Young Boy Surrounded by Figures,fdfc83bd-e76d-a3f7-05b8-a4e994e63f58,"Unknown Artist
German, 1600-1799",n.d.
128970,Untitled Valentine (Flowers on Green Background),ae75eb79-fcd2-d744-b76b-0769fd7df4b4,"Unknown Artist
American or English, 19th century",1860/69
254061,Commemorative Ground Cover,38cb977f-eacf-b551-8096-36ba8db509b5,"Dominick Di Meo
American, 1927-2024",1973
277975,Crazy Otto,fc9495b5-4ca0-c43c-0110-4f806e4c68e4,"Robert Irwin
American, 1928-2023",1962
43052,"Study for a plate from The Triumphs of Temper, in the 1796 Royal Engagements Pocket Book",b8166db6-4287-993e-42c7-4129788205a2,"Thomas Stothard
English, 1755-1834",c. 1795
95820,Man Playing Lute and Woman Playing Tamborine,2625ce6f-af03-6e55-39b3-85a6be78a6f0,"Unknown Artist
Italian, 18th century",n.d.
117456,Untitled (Group of Figures/Single Figure),a1968760-73a0-600e-ccc3-5b40d5eae541,"Joseph Goto
American, 1920-1994",n.d.
179322,"Ape House, Lincoln Park Zoo, Chicago, Illinois, Section",9abb3745-4559-7fb5-f004-19073773752e,"Brenner Danforth Rockwell Architects (American, 1961–1978)
Daniel Brenner (American, 1917–1977)",1973
186320,Portrait of Julie Manet,7f0e44bc-1345-0d1e-902e-b6f2ad99efc1,"Berthe Morisot
French, 1841–1895",1890
84204,Belvedere Torso,ef60d0b7-da29-361e-c9af-ce158b7a180c,"Peter Paul Rubens
Flemish, 1577-1640",n.d.
201851,Untitled (Seated Female Nude with Legs Extended),63451ba6-c437-364d-1639-be38302694ea,"Sylvia Shaw Judson
American, 1897-1978",n.d.
152959,Workbook D,09985947-56c6-0dc6-d33a-8e24717dc511,"Joseph Yoakum
American, 1890-1972",1972
104267,Self-Portrait (No. 9),3f5cef34-b731-21fc-4690-314c02609cfb,"Ivan Albright (American, 1897–1983)",1982
153498,Buoy,0814b40d-9680-05ba-ea4e-9ac32226f257,"Peter Blume (American, born Smarhoń, Russian Empire, now Belarus, 1906–1992)",1941
84296,Saint Sharpening a Pen,e2d22035-d3f0-7538-1088-6dc3b87ef683,"Unknown Artist
Spain, 17th Century",n.d.
156298,Sketch of Two Books,aad09186-3565-6160-d2f6-2cc756eea5a6,"William Michael Harnett
American, born Ireland, 1848-1892",n.d.
115775,Putto with Torch,0a39d6b4-4bea-88e8-493d-cad9ac9cfc90,"Giovanni Battista Cipriani
Italian, 1727-1785",n.d.
75788,The Absent Still WIthin my Heart (valentine),342cde0f-95a9-a98f-5bf1-45b10de01905,"Unknown Artist
English, 19th century",n.d.
150006,Study for Homecoming,dc7ebc27-950f-8aab-ed93-b33f57b5f9cc,"Carl Hoeckner
American, 1883-1972",1919
154037,Domenico da Gambassi,d8c733d2-5132-d0e6-c7ba-2f9f35f1a191,"Andrea del Sarto (Italian, 1486–1530)",1525–28
85168,Vulcan,434c38a0-be34-5e89-c59e-3d920900094e,"Unknown Artist
Italian, 1700-1799",n.d.
117754,Pears,2ed29b0e-52f7-1b51-d8f1-bb77a42d0097,"Bernard Chaet
American, born 1924",1977
84950,Design for a Ceiling Decoration,ec5dc358-62d1-3343-06a7-d4701ab4b3a9,"Unknown Artist
Italian 1600-1699",17th century
34668,King David Kneeling in Penitence,733e2fea-7181-a85f-15cc-1b9013cdc781,"Louis Joseph le Lorrain
French, 1715-1759",n.d.
95658,Iris,cef4fda3-0126-7bfb-f8aa-87b3bdf66eac,"Circle of Domenico Piola (Italian, 1627-1703)
or Pietro da Cortona (Italian, 1596-1669)",n.d.
84994,Horses Fighting,a0c3c638-e2a4-5907-c3e3-3dc691659b0d,"Sawrey Gilpin (English, 1733-1807)
or possibly James Ward (English, 1769-1859)",n.d.
84202,"Landscape with Wooded Hills, Seated Figure",6400fc7c-8617-bff3-b73d-13b78463030c,"Nicolaes Emmanuel Perij
Flemish, born 1736",1756
38992,View on the Tagus,e01578a9-c6d8-8fdf-2add-62fb48088d6b,"possibly William Havell (English, 1782-1857)
or Samuel Owen (English, 1768-1857)",n.d.
155208,Untitled,613a71f8-ce2d-99a2-0127-d3a4b7c1d5e0,"Alfeo Faggi
American, 1885-1966",n.d.
113846,A Bridge Near a Church in Venice,5d824d6a-ac34-2946-4884-a3131f748ac1,"Canaletto
Italian, 1697-1768",c. 1720
